date,coinbase_unscaled,coinbase_monthly,isPartial,scale,coinbase
2018-05-29,82,3.0,,0.03,2.46
2018-05-30,59,3.0,,0.03,1.77
2018-05-31,74,3.0,,0.03,2.2199999999999998
2018-06-01,66,3.0,,0.03,1.98
2018-06-02,58,3.0,,0.03,1.74
2018-06-03,58,3.0,False,0.03,1.74
2018-06-04,59,3.0,,0.03,1.77
2018-06-05,65,3.0,,0.03,1.95
2018-06-06,55,3.0,,0.03,1.65
2018-06-07,68,3.0,,0.03,2.04
2018-06-08,73,3.0,,0.03,2.19
2018-06-09,41,3.0,,0.03,1.23
2018-06-10,47,3.0,False,0.03,1.41
2018-06-11,70,3.0,,0.03,2.1
2018-06-12,100,3.0,,0.03,3.0
2018-06-13,87,3.0,,0.03,2.61
2018-06-14,76,3.0,,0.03,2.28
2018-06-15,69,3.0,,0.03,2.07
2018-06-16,42,3.0,,0.03,1.26
2018-06-17,43,3.0,False,0.03,1.29
2018-06-18,58,3.0,,0.03,1.74
2018-06-19,51,3.0,,0.03,1.53
2018-06-20,65,3.0,,0.03,1.95
2018-06-21,63,3.0,,0.03,1.89
2018-06-22,76,3.0,,0.03,2.28
2018-06-23,39,3.0,,0.03,1.17
2018-06-24,47,3.0,False,0.03,1.41
2018-06-25,58,3.0,,0.03,1.74
2018-06-26,46,3.0,,0.03,1.38
2018-06-27,59,3.0,,0.03,1.77
2018-06-28,84,3.0,,0.03,2.52
2018-06-29,71,3.0,,0.03,2.13
2018-06-30,54,3.0,,0.03,1.6199999999999999
2018-07-01,49,3.0,False,0.03,1.47
2018-07-02,79,3.0,,0.03,2.37
2018-07-03,87,3.0,,0.03,2.61
2018-07-04,84,3.0,,0.03,2.52
2018-07-05,76,3.0,,0.03,2.28
2018-07-06,49,3.0,,0.03,1.47
2018-07-07,30,3.0,,0.03,0.8999999999999999
2018-07-08,45,3.0,False,0.03,1.3499999999999999
2018-07-09,63,3.0,,0.03,1.89
2018-07-10,64,3.0,,0.03,1.92
2018-07-11,48,3.0,,0.03,1.44
2018-07-12,60,3.0,,0.03,1.7999999999999998
2018-07-13,78,3.0,,0.03,2.34
2018-07-14,53,3.0,,0.03,1.5899999999999999
2018-07-15,50,4.0,False,0.04,2.0
2018-07-16,75,4.0,,0.04,3.0
2018-07-17,84,4.0,,0.04,3.36
2018-07-18,100,4.0,,0.04,4.0
2018-07-19,76,4.0,,0.04,3.04
2018-07-20,71,4.0,,0.04,2.84
2018-07-21,63,4.0,,0.04,2.52
2018-07-22,56,4.0,False,0.04,2.24
2018-07-23,68,4.0,,0.04,2.72
2018-07-24,99,4.0,,0.04,3.96
2018-07-25,92,4.0,,0.04,3.68
2018-07-26,77,4.0,,0.04,3.08
2018-07-27,88,4.0,,0.04,3.52
2018-07-28,59,4.0,,0.04,2.36
2018-07-29,58,3.0,False,0.03,1.74
2018-07-30,77,3.0,,0.03,2.31
2018-07-31,75,3.0,,0.03,2.25
2018-08-01,64,3.0,,0.03,1.92
2018-08-02,48,3.0,,0.03,1.44
2018-08-03,56,3.0,,0.03,1.68
2018-08-04,60,3.0,,0.03,1.7999999999999998
2018-08-05,40,4.0,False,0.04,1.6
2018-08-06,66,4.0,,0.04,2.64
2018-08-07,100,4.0,,0.04,4.0
2018-08-08,81,4.0,,0.04,3.24
2018-08-09,72,4.0,,0.04,2.88
2018-08-10,74,4.0,,0.04,2.96
2018-08-11,55,4.0,,0.04,2.2
2018-08-12,39,4.0,False,0.04,1.56
2018-08-13,52,4.0,,0.04,2.08
2018-08-14,63,4.0,,0.04,2.52
2018-08-15,63,4.0,,0.04,2.52
2018-08-16,76,4.0,,0.04,3.04
2018-08-17,66,4.0,,0.04,2.64
2018-08-18,53,4.0,,0.04,2.12
2018-08-19,49,3.0,False,0.03,1.47
2018-08-20,52,3.0,,0.03,1.56
2018-08-21,47,3.0,,0.03,1.41
2018-08-22,62,3.0,,0.03,1.8599999999999999
2018-08-23,51,3.0,,0.03,1.53
2018-08-24,43,3.0,,0.03,1.29
2018-08-25,42,3.0,,0.03,1.26
2018-08-26,34,3.0,False,0.03,1.02
2018-08-27,60,3.0,,0.03,1.7999999999999998
2018-08-28,54,3.0,,0.03,1.6199999999999999
2018-08-29,46,3.0,,0.03,1.38
2018-08-30,41,3.0,,0.03,1.23
2018-08-31,59,3.0,,0.03,1.77
2018-09-01,64,3.0,,0.03,1.92
2018-09-02,62,3.0,False,0.03,1.8599999999999999
2018-09-03,58,3.0,,0.03,1.74
2018-09-04,100,3.0,,0.03,3.0
2018-09-05,77,3.0,,0.03,2.31
2018-09-06,100,3.0,,0.03,3.0
2018-09-07,67,3.0,,0.03,2.01
2018-09-08,66,3.0,,0.03,1.98
2018-09-09,59,3.0,False,0.03,1.77
2018-09-10,65,3.0,,0.03,1.95
2018-09-11,56,3.0,,0.03,1.68
2018-09-12,65,3.0,,0.03,1.95
2018-09-13,71,3.0,,0.03,2.13
2018-09-14,54,3.0,,0.03,1.6199999999999999
2018-09-15,39,3.0,,0.03,1.17
2018-09-16,42,3.0,False,0.03,1.26
2018-09-17,72,3.0,,0.03,2.16
2018-09-18,72,3.0,,0.03,2.16
2018-09-19,51,3.0,,0.03,1.53
2018-09-20,74,3.0,,0.03,2.2199999999999998
2018-09-21,75,3.0,,0.03,2.25
2018-09-22,57,3.0,,0.03,1.71
2018-09-23,62,3.0,False,0.03,1.8599999999999999
2018-09-24,79,3.0,,0.03,2.37
2018-09-25,54,3.0,,0.03,1.6199999999999999
2018-09-26,95,3.0,,0.03,2.85
2018-09-27,70,3.0,,0.03,2.1
2018-09-28,90,3.0,,0.03,2.6999999999999997
2018-09-29,67,3.0,,0.03,2.01
2018-09-30,56,3.0,False,0.03,1.68
2018-10-01,70,3.0,,0.03,2.1
2018-10-02,81,3.0,,0.03,2.4299999999999997
2018-10-03,84,3.0,,0.03,2.52
2018-10-04,80,3.0,,0.03,2.4
2018-10-05,66,3.0,,0.03,1.98
2018-10-06,54,3.0,,0.03,1.6199999999999999
2018-10-07,58,3.0,False,0.03,1.74
2018-10-08,94,3.0,,0.03,2.82
2018-10-09,84,3.0,,0.03,2.52
2018-10-10,71,3.0,,0.03,2.13
2018-10-11,92,3.0,,0.03,2.76
2018-10-12,96,3.0,,0.03,2.88
2018-10-13,85,3.0,,0.03,2.55
2018-10-14,66,3.0,False,0.03,1.98
2018-10-15,93,3.0,,0.03,2.79
2018-10-16,95,3.0,,0.03,2.85
2018-10-17,96,3.0,,0.03,2.88
2018-10-18,82,3.0,,0.03,2.46
2018-10-19,100,3.0,,0.03,3.0
2018-10-20,44,3.0,,0.03,1.3199999999999998
2018-10-21,50,3.0,False,0.03,1.5
2018-10-22,73,3.0,,0.03,2.19
2018-10-23,61,3.0,,0.03,1.8299999999999998
2018-10-24,84,3.0,,0.03,2.52
2018-10-25,88,3.0,,0.03,2.6399999999999997
2018-10-26,74,3.0,,0.03,2.2199999999999998
2018-10-27,72,3.0,,0.03,2.16
2018-10-28,63,3.0,False,0.03,1.89
2018-10-29,61,3.0,,0.03,1.8299999999999998
2018-10-30,68,3.0,,0.03,2.04
2018-10-31,58,3.0,,0.03,1.74
2018-11-01,82,3.0,,0.03,2.46
2018-11-02,49,3.0,,0.03,1.47
2018-11-03,70,3.0,,0.03,2.1
2018-11-04,55,3.0,False,0.03,1.65
2018-11-05,59,3.0,,0.03,1.77
2018-11-06,50,3.0,,0.03,1.5
2018-11-07,64,3.0,,0.03,1.92
2018-11-08,58,3.0,,0.03,1.74
2018-11-09,72,3.0,,0.03,2.16
2018-11-10,48,3.0,,0.03,1.44
2018-11-11,43,3.0,False,0.03,1.29
2018-11-12,50,3.0,,0.03,1.5
2018-11-13,66,3.0,,0.03,1.98
2018-11-14,91,3.0,,0.03,2.73
2018-11-15,80,3.0,,0.03,2.4
2018-11-16,89,3.0,,0.03,2.67
2018-11-17,75,3.0,,0.03,2.25
2018-11-18,47,3.0,False,0.03,1.41
2018-11-19,83,3.0,,0.03,2.4899999999999998
2018-11-20,100,3.0,,0.03,3.0
2018-11-21,58,3.0,,0.03,1.74
2018-11-22,53,3.0,,0.03,1.5899999999999999
2018-11-23,59,3.0,,0.03,1.77
2018-11-24,59,3.0,,0.03,1.77
2018-11-25,68,3.0,False,0.03,2.04
2018-11-26,72,3.0,,0.03,2.16
2018-11-27,62,3.0,,0.03,1.8599999999999999
2018-11-28,66,3.0,,0.03,1.98
2018-11-29,72,3.0,,0.03,2.16
2018-11-30,44,3.0,,0.03,1.3199999999999998
2018-12-01,56,3.0,,0.03,1.68
2018-12-02,44,3.0,False,0.03,1.3199999999999998
2018-12-03,68,3.0,,0.03,2.04
2018-12-04,63,3.0,,0.03,1.89
2018-12-05,51,3.0,,0.03,1.53
2018-12-06,61,3.0,,0.03,1.8299999999999998
2018-12-07,80,3.0,,0.03,2.4
2018-12-08,67,3.0,,0.03,2.01
2018-12-09,66,2.0,False,0.02,1.32
2018-12-10,71,2.0,,0.02,1.42
2018-12-11,55,2.0,,0.02,1.1
2018-12-12,59,2.0,,0.02,1.18
2018-12-13,45,2.0,,0.02,0.9
2018-12-14,66,2.0,,0.02,1.32
2018-12-15,36,2.0,,0.02,0.72
2018-12-16,71,3.0,False,0.03,2.13
2018-12-17,70,3.0,,0.03,2.1
2018-12-18,71,3.0,,0.03,2.13
2018-12-19,77,3.0,,0.03,2.31
2018-12-20,86,3.0,,0.03,2.58
2018-12-21,100,3.0,,0.03,3.0
2018-12-22,42,3.0,,0.03,1.26
2018-12-23,51,2.0,False,0.02,1.02
2018-12-24,98,2.0,,0.02,1.96
2018-12-25,55,2.0,,0.02,1.1
2018-12-26,39,2.0,,0.02,0.78
2018-12-27,61,2.0,,0.02,1.22
2018-12-28,79,2.0,,0.02,1.58
2018-12-29,62,2.0,,0.02,1.24
2018-12-30,43,2.0,False,0.02,0.86
2018-12-31,60,2.0,,0.02,1.2
2019-01-01,70,2.0,,0.02,1.4000000000000001
2019-01-02,91,2.0,,0.02,1.82
2019-01-03,64,2.0,,0.02,1.28
2019-01-04,87,2.0,,0.02,1.74
2019-01-05,76,2.0,,0.02,1.52
2019-01-06,75,2.0,False,0.02,1.5
2019-01-07,94,2.0,,0.02,1.8800000000000001
2019-01-08,100,2.0,,0.02,2.0
2019-01-09,89,2.0,,0.02,1.78
2019-01-10,89,2.0,,0.02,1.78
2019-01-11,77,2.0,,0.02,1.54
2019-01-12,70,2.0,,0.02,1.4000000000000001
2019-01-13,77,2.0,False,0.02,1.54
2019-01-14,54,2.0,,0.02,1.08
2019-01-15,84,2.0,,0.02,1.68
2019-01-16,62,2.0,,0.02,1.24
2019-01-17,67,2.0,,0.02,1.34
2019-01-18,79,2.0,,0.02,1.58
2019-01-19,91,2.0,,0.02,1.82
2019-01-20,58,2.0,False,0.02,1.16
2019-01-21,64,2.0,,0.02,1.28
2019-01-22,56,2.0,,0.02,1.12
2019-01-23,62,2.0,,0.02,1.24
2019-01-24,65,2.0,,0.02,1.3
2019-01-25,62,2.0,,0.02,1.24
2019-01-26,56,2.0,,0.02,1.12
2019-01-27,66,2.0,False,0.02,1.32
2019-01-28,80,2.0,,0.02,1.6
2019-01-29,56,2.0,,0.02,1.12
2019-01-30,61,2.0,,0.02,1.22
2019-01-31,67,2.0,,0.02,1.34
2019-02-01,33,2.0,,0.02,0.66
2019-02-02,41,2.0,,0.02,0.8200000000000001
2019-02-03,46,2.0,False,0.02,0.92
2019-02-04,43,2.0,,0.02,0.86
2019-02-05,60,2.0,,0.02,1.2
2019-02-06,72,2.0,,0.02,1.44
2019-02-07,55,2.0,,0.02,1.1
2019-02-08,42,2.0,,0.02,0.84
2019-02-09,60,2.0,,0.02,1.2
2019-02-10,38,2.0,False,0.02,0.76
2019-02-11,56,2.0,,0.02,1.12
2019-02-12,58,2.0,,0.02,1.16
2019-02-13,83,2.0,,0.02,1.6600000000000001
2019-02-14,65,2.0,,0.02,1.3
2019-02-15,46,2.0,,0.02,0.92
2019-02-16,56,2.0,,0.02,1.12
2019-02-17,47,3.0,False,0.03,1.41
2019-02-18,82,3.0,,0.03,2.46
2019-02-19,58,3.0,,0.03,1.74
2019-02-20,74,3.0,,0.03,2.2199999999999998
2019-02-21,62,3.0,,0.03,1.8599999999999999
2019-02-22,72,3.0,,0.03,2.16
2019-02-23,60,3.0,,0.03,1.7999999999999998
2019-02-24,79,3.0,False,0.03,2.37
2019-02-25,100,3.0,,0.03,3.0
2019-02-26,96,3.0,,0.03,2.88
2019-02-27,81,3.0,,0.03,2.4299999999999997
2019-02-28,67,3.0,,0.03,2.01
2019-03-01,90,3.0,,0.03,2.6999999999999997
2019-03-02,48,3.0,,0.03,1.44
2019-03-03,51,2.0,False,0.02,1.02
2019-03-04,52,2.0,,0.02,1.04
2019-03-05,57,2.0,,0.02,1.1400000000000001
2019-03-06,80,2.0,,0.02,1.6
2019-03-07,54,2.0,,0.02,1.08
2019-03-08,51,2.0,,0.02,1.02
2019-03-09,32,2.0,,0.02,0.64
2019-03-10,49,2.0,False,0.02,0.98
