date,btc_unscaled,btc_monthly,isPartial,scale,btc
2020-09-30,67,3.0,,0.03,2.01
2020-10-01,53,3.0,,0.03,1.5899999999999999
2020-10-02,60,3.0,,0.03,1.7999999999999998
2020-10-03,56,3.0,,0.03,1.68
2020-10-04,44,3.0,False,0.03,1.3199999999999998
2020-10-05,50,3.0,,0.03,1.5
2020-10-06,50,3.0,,0.03,1.5
2020-10-07,48,3.0,,0.03,1.44
2020-10-08,53,3.0,,0.03,1.5899999999999999
2020-10-09,62,3.0,,0.03,1.8599999999999999
2020-10-10,71,3.0,,0.03,2.13
2020-10-11,57,3.0,False,0.03,1.71
2020-10-12,64,3.0,,0.03,1.92
2020-10-13,62,3.0,,0.03,1.8599999999999999
2020-10-14,55,3.0,,0.03,1.65
2020-10-15,54,3.0,,0.03,1.6199999999999999
2020-10-16,55,3.0,,0.03,1.65
2020-10-17,54,3.0,,0.03,1.6199999999999999
2020-10-18,49,4.0,False,0.04,1.96
2020-10-19,56,4.0,,0.04,2.24
2020-10-20,62,4.0,,0.04,2.48
2020-10-21,99,4.0,,0.04,3.96
2020-10-22,100,4.0,,0.04,4.0
2020-10-23,91,4.0,,0.04,3.64
2020-10-24,73,4.0,,0.04,2.92
2020-10-25,69,4.0,False,0.04,2.7600000000000002
2020-10-26,78,4.0,,0.04,3.12
2020-10-27,94,4.0,,0.04,3.7600000000000002
2020-10-28,95,4.0,,0.04,3.8000000000000003
2020-10-29,75,4.0,,0.04,3.0
2020-10-30,76,4.0,,0.04,3.04
2020-10-31,92,4.0,,0.04,3.68
2020-11-01,49,5.0,False,0.05,2.45
2020-11-02,46,5.0,,0.05,2.3000000000000003
2020-11-03,48,5.0,,0.05,2.4000000000000004
2020-11-04,44,5.0,,0.05,2.2
2020-11-05,68,5.0,,0.05,3.4000000000000004
2020-11-06,75,5.0,,0.05,3.75
2020-11-07,64,5.0,,0.05,3.2
2020-11-08,61,5.0,False,0.05,3.0500000000000003
2020-11-09,59,5.0,,0.05,2.95
2020-11-10,52,5.0,,0.05,2.6
2020-11-11,51,5.0,,0.05,2.5500000000000003
2020-11-12,57,5.0,,0.05,2.85
2020-11-13,69,5.0,,0.05,3.45
2020-11-14,62,5.0,,0.05,3.1
2020-11-15,48,6.0,False,0.06,2.88
2020-11-16,61,6.0,,0.06,3.6599999999999997
2020-11-17,85,6.0,,0.06,5.1
2020-11-18,98,6.0,,0.06,5.88
2020-11-19,76,6.0,,0.06,4.56
2020-11-20,84,6.0,,0.06,5.04
2020-11-21,79,6.0,,0.06,4.74
2020-11-22,71,6.0,False,0.06,4.26
2020-11-23,66,6.0,,0.06,3.96
2020-11-24,100,6.0,,0.06,6.0
2020-11-25,77,6.0,,0.06,4.62
2020-11-26,94,6.0,,0.06,5.64
2020-11-27,76,6.0,,0.06,4.56
2020-11-28,64,6.0,,0.06,3.84
2020-11-29,60,6.0,False,0.06,3.5999999999999996
2020-11-30,88,6.0,,0.06,5.279999999999999
2020-12-01,51,6.0,,0.06,3.06
2020-12-02,42,6.0,,0.06,2.52
2020-12-03,40,6.0,,0.06,2.4
2020-12-04,38,6.0,,0.06,2.28
2020-12-05,38,6.0,,0.06,2.28
2020-12-06,32,5.0,False,0.05,1.6
2020-12-07,35,5.0,,0.05,1.75
2020-12-08,34,5.0,,0.05,1.7000000000000002
2020-12-09,37,5.0,,0.05,1.85
2020-12-10,33,5.0,,0.05,1.6500000000000001
2020-12-11,33,5.0,,0.05,1.6500000000000001
2020-12-12,44,5.0,,0.05,2.2
2020-12-13,39,7.0,False,0.07,2.7300000000000004
2020-12-14,35,7.0,,0.07,2.45
2020-12-15,33,7.0,,0.07,2.31
2020-12-16,64,7.0,,0.07,4.48
2020-12-17,100,7.0,,0.07,7.000000000000001
2020-12-18,62,7.0,,0.07,4.340000000000001
2020-12-19,56,7.0,,0.07,3.9200000000000004
