date,bitcoin to usd_unscaled,bitcoin to usd_monthly,isPartial,scale,bitcoin to usd
2019-04-20,32,4.0,,0.04,1.28
2019-04-21,21,4.0,False,0.04,0.84
2019-04-22,60,4.0,,0.04,2.4
2019-04-23,79,4.0,,0.04,3.16
2019-04-24,61,4.0,,0.04,2.44
2019-04-25,88,4.0,,0.04,3.52
2019-04-26,36,4.0,,0.04,1.44
2019-04-27,20,4.0,,0.04,0.8
2019-04-28,68,4.0,False,0.04,2.72
2019-04-29,51,4.0,,0.04,2.04
2019-04-30,61,4.0,,0.04,2.44
2019-05-01,57,4.0,,0.04,2.2800000000000002
2019-05-02,16,4.0,,0.04,0.64
2019-05-03,36,4.0,,0.04,1.44
2019-05-04,46,4.0,,0.04,1.84
2019-05-05,73,5.0,False,0.05,3.6500000000000004
2019-05-06,44,5.0,,0.05,2.2
2019-05-07,62,5.0,,0.05,3.1
2019-05-08,25,5.0,,0.05,1.25
2019-05-09,51,5.0,,0.05,2.5500000000000003
2019-05-10,60,5.0,,0.05,3.0
2019-05-11,82,5.0,,0.05,4.1000000000000005
2019-05-12,79,8.0,False,0.08,6.32
2019-05-13,76,8.0,,0.08,6.08
2019-05-14,100,8.0,,0.08,8.0
2019-05-15,85,8.0,,0.08,6.8
2019-05-16,63,8.0,,0.08,5.04
2019-05-17,82,8.0,,0.08,6.5600000000000005
2019-05-18,62,8.0,,0.08,4.96
2019-05-19,53,6.0,False,0.06,3.1799999999999997
2019-05-20,50,6.0,,0.06,3.0
2019-05-21,55,6.0,,0.06,3.3
2019-05-22,55,6.0,,0.06,3.3
2019-05-23,72,6.0,,0.06,4.32
2019-05-24,74,6.0,,0.06,4.4399999999999995
2019-05-25,51,6.0,,0.06,3.06
2019-05-26,57,6.0,False,0.06,3.42
2019-05-27,66,6.0,,0.06,3.96
2019-05-28,86,6.0,,0.06,5.16
2019-05-29,39,6.0,,0.06,2.34
2019-05-30,65,6.0,,0.06,3.9
2019-05-31,49,6.0,,0.06,2.94
2019-06-01,29,6.0,,0.06,1.74
2019-06-02,13,5.0,False,0.05,0.65
2019-06-03,30,5.0,,0.05,1.5
2019-06-04,32,5.0,,0.05,1.6
2019-06-05,30,5.0,,0.05,1.5
2019-06-06,38,5.0,,0.05,1.9000000000000001
2019-06-07,50,5.0,,0.05,2.5
2019-06-08,44,5.0,,0.05,2.2
2019-06-09,28,4.0,False,0.04,1.12
2019-06-10,28,4.0,,0.04,1.12
2019-06-11,32,4.0,,0.04,1.28
2019-06-12,34,4.0,,0.04,1.36
2019-06-13,21,4.0,,0.04,0.84
2019-06-14,35,4.0,,0.04,1.4000000000000001
2019-06-15,30,4.0,,0.04,1.2
2019-06-16,30,7.0,False,0.07,2.1
2019-06-17,27,7.0,,0.07,1.8900000000000001
2019-06-18,53,7.0,,0.07,3.7100000000000004
2019-06-19,36,7.0,,0.07,2.5200000000000005
2019-06-20,35,7.0,,0.07,2.45
2019-06-21,28,7.0,,0.07,1.9600000000000002
2019-06-22,100,7.0,,0.07,7.000000000000001
2019-06-23,42,11.0,False,0.11,4.62
2019-06-24,91,11.0,,0.11,10.01
2019-06-25,59,11.0,,0.11,6.49
2019-06-26,84,11.0,,0.11,9.24
2019-06-27,90,11.0,,0.11,9.9
2019-06-28,55,11.0,,0.11,6.05
2019-06-29,60,11.0,,0.11,6.6
2019-06-30,44,7.0,False,0.07,3.08
2019-07-01,100,7.0,,0.07,7.000000000000001
2019-07-02,80,7.0,,0.07,5.6000000000000005
2019-07-03,71,7.0,,0.07,4.970000000000001
2019-07-04,89,7.0,,0.07,6.23
2019-07-05,53,7.0,,0.07,3.7100000000000004
2019-07-06,57,7.0,,0.07,3.99
2019-07-07,66,6.0,False,0.06,3.96
2019-07-08,67,6.0,,0.06,4.02
2019-07-09,69,6.0,,0.06,4.14
2019-07-10,49,6.0,,0.06,2.94
2019-07-11,55,6.0,,0.06,3.3
2019-07-12,55,6.0,,0.06,3.3
2019-07-13,54,6.0,,0.06,3.2399999999999998
2019-07-14,53,6.0,False,0.06,3.1799999999999997
2019-07-15,52,6.0,,0.06,3.12
2019-07-16,62,6.0,,0.06,3.7199999999999998
2019-07-17,53,6.0,,0.06,3.1799999999999997
2019-07-18,52,6.0,,0.06,3.12
2019-07-19,54,6.0,,0.06,3.2399999999999998
2019-07-20,83,6.0,,0.06,4.9799999999999995
2019-07-21,73,5.0,False,0.05,3.6500000000000004
2019-07-22,57,5.0,,0.05,2.85
2019-07-23,48,5.0,,0.05,2.4000000000000004
2019-07-24,40,5.0,,0.05,2.0
2019-07-25,53,5.0,,0.05,2.6500000000000004
2019-07-26,25,5.0,,0.05,1.25
2019-07-27,58,5.0,,0.05,2.9000000000000004
2019-07-28,51,5.0,False,0.05,2.5500000000000003
2019-07-29,49,5.0,,0.05,2.45
2019-07-30,45,5.0,,0.05,2.25
2019-07-31,58,5.0,,0.05,2.9000000000000004
2019-08-01,79,5.0,,0.05,3.95
2019-08-02,53,5.0,,0.05,2.6500000000000004
2019-08-03,48,5.0,,0.05,2.4000000000000004
2019-08-04,65,6.0,False,0.06,3.9
2019-08-05,61,6.0,,0.06,3.6599999999999997
2019-08-06,85,6.0,,0.06,5.1
2019-08-07,100,6.0,,0.06,6.0
2019-08-08,75,6.0,,0.06,4.5
2019-08-09,44,6.0,,0.06,2.6399999999999997
2019-08-10,61,6.0,,0.06,3.6599999999999997
2019-08-11,32,6.0,False,0.06,1.92
2019-08-12,50,6.0,,0.06,3.0
2019-08-13,56,6.0,,0.06,3.36
