date,bitcoin news_unscaled,bitcoin news_monthly,isPartial,scale,bitcoin news
2020-03-30,39,11.0,,0.11,4.29
2020-03-31,28,11.0,,0.11,3.08
2020-04-01,44,11.0,,0.11,4.84
2020-04-02,65,11.0,,0.11,7.15
2020-04-03,56,11.0,,0.11,6.16
2020-04-04,67,11.0,,0.11,7.37
2020-04-05,35,13.0,False,0.13,4.55
2020-04-06,100,13.0,,0.13,13.0
2020-04-07,60,13.0,,0.13,7.800000000000001
2020-04-08,45,13.0,,0.13,5.8500000000000005
2020-04-09,62,13.0,,0.13,8.06
2020-04-10,50,13.0,,0.13,6.5
2020-04-11,30,13.0,,0.13,3.9000000000000004
2020-04-12,60,13.0,False,0.13,7.800000000000001
2020-04-13,43,13.0,,0.13,5.59
2020-04-14,60,13.0,,0.13,7.800000000000001
2020-04-15,47,13.0,,0.13,6.11
2020-04-16,49,13.0,,0.13,6.37
2020-04-17,61,13.0,,0.13,7.930000000000001
2020-04-18,53,13.0,,0.13,6.890000000000001
2020-04-19,50,13.0,False,0.13,6.5
2020-04-20,54,13.0,,0.13,7.0200000000000005
2020-04-21,59,13.0,,0.13,7.67
2020-04-22,47,13.0,,0.13,6.11
2020-04-23,58,13.0,,0.13,7.54
2020-04-24,66,13.0,,0.13,8.58
2020-04-25,32,13.0,,0.13,4.16
2020-04-26,47,14.0,False,0.14,6.580000000000001
2020-04-27,37,14.0,,0.14,5.180000000000001
2020-04-28,48,14.0,,0.14,6.720000000000001
2020-04-29,95,14.0,,0.14,13.3
2020-04-30,94,14.0,,0.14,13.160000000000002
2020-05-01,48,14.0,,0.14,6.720000000000001
2020-05-02,31,14.0,,0.14,4.340000000000001
2020-05-03,43,16.0,False,0.16,6.88
2020-05-04,53,16.0,,0.16,8.48
2020-05-05,33,16.0,,0.16,5.28
2020-05-06,60,16.0,,0.16,9.6
2020-05-07,54,16.0,,0.16,8.64
2020-05-08,55,16.0,,0.16,8.8
2020-05-09,58,16.0,,0.16,9.28
2020-05-10,85,17.0,False,0.17,14.450000000000001
2020-05-11,100,17.0,,0.17,17.0
2020-05-12,73,17.0,,0.17,12.41
