date,bitcoin price usd_unscaled,bitcoin price usd_monthly,isPartial,scale,bitcoin price usd
2018-06-17,47,6.0,False,0.06,2.82
2018-06-18,60,6.0,,0.06,3.5999999999999996
2018-06-19,74,6.0,,0.06,4.4399999999999995
2018-06-20,61,6.0,,0.06,3.6599999999999997
2018-06-21,64,6.0,,0.06,3.84
2018-06-22,63,6.0,,0.06,3.78
2018-06-23,69,6.0,,0.06,4.14
2018-06-24,43,7.0,False,0.07,3.0100000000000002
2018-06-25,41,7.0,,0.07,2.87
2018-06-26,52,7.0,,0.07,3.6400000000000006
2018-06-27,52,7.0,,0.07,3.6400000000000006
2018-06-28,68,7.0,,0.07,4.760000000000001
2018-06-29,72,7.0,,0.07,5.040000000000001
2018-06-30,79,7.0,,0.07,5.53
2018-07-01,56,5.0,False,0.05,2.8000000000000003
2018-07-02,69,5.0,,0.05,3.45
2018-07-03,50,5.0,,0.05,2.5
2018-07-04,61,5.0,,0.05,3.0500000000000003
2018-07-05,53,5.0,,0.05,2.6500000000000004
2018-07-06,62,5.0,,0.05,3.1
2018-07-07,48,5.0,,0.05,2.4000000000000004
2018-07-08,49,5.0,False,0.05,2.45
2018-07-09,66,5.0,,0.05,3.3000000000000003
2018-07-10,67,5.0,,0.05,3.35
2018-07-11,76,5.0,,0.05,3.8000000000000003
2018-07-12,65,5.0,,0.05,3.25
2018-07-13,63,5.0,,0.05,3.1500000000000004
2018-07-14,14,5.0,,0.05,0.7000000000000001
2018-07-15,67,7.0,False,0.07,4.69
2018-07-16,52,7.0,,0.07,3.6400000000000006
2018-07-17,87,7.0,,0.07,6.090000000000001
2018-07-18,100,7.0,,0.07,7.000000000000001
2018-07-19,81,7.0,,0.07,5.670000000000001
2018-07-20,70,7.0,,0.07,4.9
2018-07-21,32,7.0,,0.07,2.24
2018-07-22,73,7.0,False,0.07,5.11
2018-07-23,84,7.0,,0.07,5.880000000000001
2018-07-24,55,7.0,,0.07,3.8500000000000005
2018-07-25,80,7.0,,0.07,5.6000000000000005
2018-07-26,93,7.0,,0.07,6.510000000000001
2018-07-27,90,7.0,,0.07,6.300000000000001
2018-07-28,50,7.0,,0.07,3.5000000000000004
2018-07-29,64,6.0,False,0.06,3.84
2018-07-30,47,6.0,,0.06,2.82
2018-07-31,59,6.0,,0.06,3.54
2018-08-01,42,6.0,,0.06,2.52
2018-08-02,84,6.0,,0.06,5.04
2018-08-03,61,6.0,,0.06,3.6599999999999997
2018-08-04,34,6.0,,0.06,2.04
2018-08-05,47,6.0,False,0.06,2.82
2018-08-06,66,6.0,,0.06,3.96
2018-08-07,61,6.0,,0.06,3.6599999999999997
2018-08-08,65,6.0,,0.06,3.9
2018-08-09,62,6.0,,0.06,3.7199999999999998
2018-08-10,60,6.0,,0.06,3.5999999999999996
2018-08-11,57,6.0,,0.06,3.42
2018-08-12,42,7.0,False,0.07,2.9400000000000004
2018-08-13,71,7.0,,0.07,4.970000000000001
2018-08-14,88,7.0,,0.07,6.16
2018-08-15,77,7.0,,0.07,5.390000000000001
2018-08-16,72,7.0,,0.07,5.040000000000001
2018-08-17,43,7.0,,0.07,3.0100000000000002
2018-08-18,69,7.0,,0.07,4.83
2018-08-19,64,6.0,False,0.06,3.84
2018-08-20,65,6.0,,0.06,3.9
2018-08-21,77,6.0,,0.06,4.62
2018-08-22,77,6.0,,0.06,4.62
2018-08-23,89,6.0,,0.06,5.34
2018-08-24,100,6.0,,0.06,6.0
2018-08-25,77,6.0,,0.06,4.62
2018-08-26,67,5.0,False,0.05,3.35
2018-08-27,59,5.0,,0.05,2.95
2018-08-28,58,5.0,,0.05,2.9000000000000004
2018-08-29,70,5.0,,0.05,3.5
2018-08-30,62,5.0,,0.05,3.1
2018-08-31,77,5.0,,0.05,3.85
2018-09-01,49,5.0,,0.05,2.45
2018-09-02,74,6.0,False,0.06,4.4399999999999995
2018-09-03,48,6.0,,0.06,2.88
2018-09-04,42,6.0,,0.06,2.52
2018-09-05,78,6.0,,0.06,4.68
2018-09-06,100,6.0,,0.06,6.0
2018-09-07,76,6.0,,0.06,4.56
2018-09-08,41,6.0,,0.06,2.46
2018-09-09,49,5.0,False,0.05,2.45
2018-09-10,46,5.0,,0.05,2.3000000000000003
