date,bitcoin dolar_unscaled,bitcoin dolar_monthly,isPartial,scale,bitcoin dolar
2020-07-06,54,9.0,,0.09,4.859999999999999
2020-07-07,52,9.0,,0.09,4.68
2020-07-08,54,9.0,,0.09,4.859999999999999
2020-07-09,45,9.0,,0.09,4.05
2020-07-10,49,9.0,,0.09,4.41
2020-07-11,64,9.0,,0.09,5.76
2020-07-12,26,8.0,False,0.08,2.08
2020-07-13,30,8.0,,0.08,2.4
2020-07-14,43,8.0,,0.08,3.44
2020-07-15,52,8.0,,0.08,4.16
2020-07-16,44,8.0,,0.08,3.52
2020-07-17,36,8.0,,0.08,2.88
2020-07-18,45,8.0,,0.08,3.6
2020-07-19,26,9.0,False,0.09,2.34
2020-07-20,34,9.0,,0.09,3.06
2020-07-21,44,9.0,,0.09,3.96
2020-07-22,55,9.0,,0.09,4.95
2020-07-23,46,9.0,,0.09,4.14
2020-07-24,35,9.0,,0.09,3.15
2020-07-25,60,9.0,,0.09,5.3999999999999995
2020-07-26,49,16.0,False,0.16,7.84
2020-07-27,91,16.0,,0.16,14.56
2020-07-28,100,16.0,,0.16,16.0
2020-07-29,84,16.0,,0.16,13.44
2020-07-30,74,16.0,,0.16,11.84
2020-07-31,100,16.0,,0.16,16.0
2020-08-01,66,16.0,,0.16,10.56
2020-08-02,93,16.0,False,0.16,14.88
2020-08-03,63,16.0,,0.16,10.08
2020-08-04,52,16.0,,0.16,8.32
2020-08-05,53,16.0,,0.16,8.48
2020-08-06,100,16.0,,0.16,16.0
2020-08-07,81,16.0,,0.16,12.96
2020-08-08,47,16.0,,0.16,7.5200000000000005
2020-08-09,56,15.0,False,0.15,8.4
2020-08-10,66,15.0,,0.15,9.9
2020-08-11,66,15.0,,0.15,9.9
2020-08-12,63,15.0,,0.15,9.45
2020-08-13,50,15.0,,0.15,7.5
2020-08-14,76,15.0,,0.15,11.4
2020-08-15,42,15.0,,0.15,6.3
2020-08-16,40,12.0,False,0.12,4.8
2020-08-17,52,12.0,,0.12,6.24
2020-08-18,71,12.0,,0.12,8.52
2020-08-19,75,12.0,,0.12,9.0
2020-08-20,69,12.0,,0.12,8.28
2020-08-21,33,12.0,,0.12,3.96
2020-08-22,38,12.0,,0.12,4.56
2020-08-23,27,10.0,False,0.1,2.7
2020-08-24,40,10.0,,0.1,4.0
2020-08-25,46,10.0,,0.1,4.6000000000000005
2020-08-26,43,10.0,,0.1,4.3
2020-08-27,22,10.0,,0.1,2.2
2020-08-28,44,10.0,,0.1,4.4
2020-08-29,32,10.0,,0.1,3.2
2020-08-30,49,12.0,False,0.12,5.88
2020-08-31,43,12.0,,0.12,5.16
2020-09-01,60,12.0,,0.12,7.199999999999999
2020-09-02,56,12.0,,0.12,6.72
2020-09-03,69,12.0,,0.12,8.28
2020-09-04,100,12.0,,0.12,12.0
2020-09-05,67,12.0,,0.12,8.04
2020-09-06,56,11.0,False,0.11,6.16
2020-09-07,63,11.0,,0.11,6.93
2020-09-08,72,11.0,,0.11,7.92
2020-09-09,46,11.0,,0.11,5.06
2020-09-10,78,11.0,,0.11,8.58
2020-09-11,51,11.0,,0.11,5.61
2020-09-12,48,11.0,,0.11,5.28
2020-09-13,36,9.0,False,0.09,3.2399999999999998
2020-09-14,55,9.0,,0.09,4.95
2020-09-15,77,9.0,,0.09,6.93
2020-09-16,63,9.0,,0.09,5.67
2020-09-17,46,9.0,,0.09,4.14
2020-09-18,48,9.0,,0.09,4.32
2020-09-19,53,9.0,,0.09,4.77
2020-09-20,39,10.0,False,0.1,3.9000000000000004
2020-09-21,59,10.0,,0.1,5.9
2020-09-22,86,10.0,,0.1,8.6
2020-09-23,45,10.0,,0.1,4.5
2020-09-24,62,10.0,,0.1,6.2
2020-09-25,68,10.0,,0.1,6.800000000000001
2020-09-26,49,10.0,,0.1,4.9
2020-09-27,45,9.0,False,0.09,4.05
2020-09-28,57,9.0,,0.09,5.13
2020-09-29,75,9.0,,0.09,6.75
2020-09-30,52,9.0,,0.09,4.68
2020-10-01,43,9.0,,0.09,3.8699999999999997
2020-10-02,39,9.0,,0.09,3.51
2020-10-03,32,9.0,,0.09,2.88
2020-10-04,27,9.0,False,0.09,2.4299999999999997
2020-10-05,31,9.0,,0.09,2.79
2020-10-06,41,9.0,,0.09,3.69
2020-10-07,36,9.0,,0.09,3.2399999999999998
2020-10-08,32,9.0,,0.09,2.88
2020-10-09,49,9.0,,0.09,4.41
2020-10-10,27,9.0,,0.09,2.4299999999999997
2020-10-11,22,9.0,False,0.09,1.98
2020-10-12,36,9.0,,0.09,3.2399999999999998
2020-10-13,35,9.0,,0.09,3.15
2020-10-14,41,9.0,,0.09,3.69
2020-10-15,37,9.0,,0.09,3.33
2020-10-16,45,9.0,,0.09,4.05
2020-10-17,42,9.0,,0.09,3.78
2020-10-18,31,14.0,False,0.14,4.340000000000001
2020-10-19,32,14.0,,0.14,4.48
2020-10-20,53,14.0,,0.14,7.420000000000001
2020-10-21,90,14.0,,0.14,12.600000000000001
2020-10-22,79,14.0,,0.14,11.06
2020-10-23,60,14.0,,0.14,8.4
2020-10-24,53,14.0,,0.14,7.420000000000001
2020-10-25,50,18.0,False,0.18,9.0
2020-10-26,81,18.0,,0.18,14.58
2020-10-27,100,18.0,,0.18,18.0
2020-10-28,63,18.0,,0.18,11.34
2020-10-29,54,18.0,,0.18,9.719999999999999
2020-10-30,78,18.0,,0.18,14.04
2020-10-31,66,18.0,,0.18,11.879999999999999
2020-11-01,28,20.0,False,0.2,5.6000000000000005
2020-11-02,32,20.0,,0.2,6.4
2020-11-03,48,20.0,,0.2,9.600000000000001
2020-11-04,41,20.0,,0.2,8.200000000000001
2020-11-05,66,20.0,,0.2,13.200000000000001
2020-11-06,85,20.0,,0.2,17.0
2020-11-07,78,20.0,,0.2,15.600000000000001
2020-11-08,54,23.0,False,0.23,12.42
2020-11-09,80,23.0,,0.23,18.400000000000002
2020-11-10,58,23.0,,0.23,13.34
2020-11-11,47,23.0,,0.23,10.81
2020-11-12,69,23.0,,0.23,15.870000000000001
2020-11-13,65,23.0,,0.23,14.950000000000001
2020-11-14,38,23.0,,0.23,8.74
2020-11-15,35,23.0,False,0.23,8.05
2020-11-16,51,23.0,,0.23,11.73
2020-11-17,77,23.0,,0.23,17.71
2020-11-18,73,23.0,,0.23,16.79
2020-11-19,76,23.0,,0.23,17.48
2020-11-20,76,23.0,,0.23,17.48
2020-11-21,69,23.0,,0.23,15.870000000000001
2020-11-22,48,26.0,False,0.26,12.48
2020-11-23,53,26.0,,0.26,13.780000000000001
2020-11-24,85,26.0,,0.26,22.1
2020-11-25,70,26.0,,0.26,18.2
2020-11-26,100,26.0,,0.26,26.0
2020-11-27,81,26.0,,0.26,21.060000000000002
2020-11-28,41,26.0,,0.26,10.66
2020-11-29,44,22.0,False,0.22,9.68
2020-11-30,69,22.0,,0.22,15.18
2020-12-01,59,22.0,,0.22,12.98
2020-12-02,41,22.0,,0.22,9.02
2020-12-03,55,22.0,,0.22,12.1
2020-12-04,44,22.0,,0.22,9.68
2020-12-05,36,22.0,,0.22,7.92
2020-12-06,29,19.0,False,0.19,5.51
2020-12-07,42,19.0,,0.19,7.98
2020-12-08,52,19.0,,0.19,9.88
2020-12-09,41,19.0,,0.19,7.79
2020-12-10,49,19.0,,0.19,9.31
2020-12-11,43,19.0,,0.19,8.17
2020-12-12,30,19.0,,0.19,5.7
2020-12-13,44,29.0,False,0.29,12.76
2020-12-14,33,29.0,,0.29,9.569999999999999
2020-12-15,50,29.0,,0.29,14.499999999999998
2020-12-16,85,29.0,,0.29,24.65
2020-12-17,93,29.0,,0.29,26.97
2020-12-18,69,29.0,,0.29,20.009999999999998
2020-12-19,57,29.0,,0.29,16.529999999999998
2020-12-20,63,28.0,False,0.28,17.64
2020-12-21,64,28.0,,0.28,17.92
2020-12-22,52,28.0,,0.28,14.560000000000002
2020-12-23,49,28.0,,0.28,13.72
2020-12-24,50,28.0,,0.28,14.000000000000002
2020-12-25,66,28.0,,0.28,18.48
2020-12-26,78,28.0,,0.28,21.840000000000003
2020-12-27,100,42.0,False,0.42,42.0
2020-12-28,89,42.0,,0.42,37.379999999999995
