date,bitcoin dollar_unscaled,bitcoin dollar_monthly,isPartial,scale,bitcoin dollar
2019-08-03,76,15.0,,0.15,11.4
2019-08-04,72,18.0,False,0.18,12.959999999999999
2019-08-05,100,18.0,,0.18,18.0
2019-08-06,60,18.0,,0.18,10.799999999999999
2019-08-07,78,18.0,,0.18,14.04
2019-08-08,53,18.0,,0.18,9.54
2019-08-09,76,18.0,,0.18,13.68
2019-08-10,98,18.0,,0.18,17.64
2019-08-11,56,17.0,False,0.17,9.520000000000001
2019-08-12,74,17.0,,0.17,12.58
2019-08-13,93,17.0,,0.17,15.81
2019-08-14,46,17.0,,0.17,7.82
2019-08-15,89,17.0,,0.17,15.13
2019-08-16,61,17.0,,0.17,10.370000000000001
2019-08-17,52,17.0,,0.17,8.84
2019-08-18,51,12.0,False,0.12,6.12
2019-08-19,41,12.0,,0.12,4.92
2019-08-20,62,12.0,,0.12,7.4399999999999995
2019-08-21,79,12.0,,0.12,9.48
2019-08-22,52,12.0,,0.12,6.24
2019-08-23,51,12.0,,0.12,6.12
2019-08-24,43,12.0,,0.12,5.16
2019-08-25,60,12.0,False,0.12,7.199999999999999
2019-08-26,72,12.0,,0.12,8.64
2019-08-27,40,12.0,,0.12,4.8
2019-08-28,37,12.0,,0.12,4.4399999999999995
2019-08-29,57,12.0,,0.12,6.84
2019-08-30,45,12.0,,0.12,5.3999999999999995
2019-08-31,38,12.0,,0.12,4.56
2019-09-01,42,9.0,False,0.09,3.78
2019-09-02,49,9.0,,0.09,4.41
2019-09-03,51,9.0,,0.09,4.59
2019-09-04,88,9.0,,0.09,7.92
2019-09-05,81,9.0,,0.09,7.29
2019-09-06,83,9.0,,0.09,7.47
2019-09-07,34,9.0,,0.09,3.06
2019-09-08,37,13.0,False,0.13,4.8100000000000005
2019-09-09,58,13.0,,0.13,7.54
2019-09-10,37,13.0,,0.13,4.8100000000000005
2019-09-11,43,13.0,,0.13,5.59
2019-09-12,55,13.0,,0.13,7.15
2019-09-13,34,13.0,,0.13,4.42
2019-09-14,100,13.0,,0.13,13.0
2019-09-15,37,12.0,False,0.12,4.4399999999999995
2019-09-16,54,12.0,,0.12,6.4799999999999995
2019-09-17,47,12.0,,0.12,5.64
2019-09-18,43,12.0,,0.12,5.16
2019-09-19,47,12.0,,0.12,5.64
2019-09-20,42,12.0,,0.12,5.04
2019-09-21,53,12.0,,0.12,6.359999999999999
2019-09-22,44,12.0,False,0.12,5.279999999999999
2019-09-23,49,12.0,,0.12,5.88
2019-09-24,71,12.0,,0.12,8.52
2019-09-25,53,12.0,,0.12,6.359999999999999
2019-09-26,51,12.0,,0.12,6.12
2019-09-27,60,12.0,,0.12,7.199999999999999
2019-09-28,37,12.0,,0.12,4.4399999999999995
2019-09-29,62,10.0,False,0.1,6.2
2019-09-30,40,10.0,,0.1,4.0
2019-10-01,37,10.0,,0.1,3.7
2019-10-02,53,10.0,,0.1,5.300000000000001
2019-10-03,17,10.0,,0.1,1.7000000000000002
2019-10-04,60,10.0,,0.1,6.0
2019-10-05,46,10.0,,0.1,4.6000000000000005
2019-10-06,27,9.0,False,0.09,2.4299999999999997
2019-10-07,61,9.0,,0.09,5.49
2019-10-08,34,9.0,,0.09,3.06
2019-10-09,79,9.0,,0.09,7.109999999999999
2019-10-10,27,9.0,,0.09,2.4299999999999997
2019-10-11,34,9.0,,0.09,3.06
2019-10-12,61,9.0,,0.09,5.49
2019-10-13,45,8.0,False,0.08,3.6
2019-10-14,47,8.0,,0.08,3.7600000000000002
2019-10-15,59,8.0,,0.08,4.72
2019-10-16,33,8.0,,0.08,2.64
2019-10-17,41,8.0,,0.08,3.2800000000000002
2019-10-18,39,8.0,,0.08,3.12
2019-10-19,31,8.0,,0.08,2.48
2019-10-20,19,10.0,False,0.1,1.9000000000000001
2019-10-21,52,10.0,,0.1,5.2
2019-10-22,42,10.0,,0.1,4.2
2019-10-23,56,10.0,,0.1,5.6000000000000005
2019-10-24,72,10.0,,0.1,7.2
2019-10-25,53,10.0,,0.1,5.300000000000001
2019-10-26,100,10.0,,0.1,10.0
2019-10-27,56,13.0,False,0.13,7.28
2019-10-28,36,13.0,,0.13,4.68
2019-10-29,77,13.0,,0.13,10.01
2019-10-30,73,13.0,,0.13,9.49
2019-10-31,58,13.0,,0.13,7.54
2019-11-01,59,13.0,,0.13,7.67
2019-11-02,100,13.0,,0.13,13.0
2019-11-03,61,8.0,False,0.08,4.88
2019-11-04,25,8.0,,0.08,2.0
2019-11-05,64,8.0,,0.08,5.12
2019-11-06,63,8.0,,0.08,5.04
2019-11-07,69,8.0,,0.08,5.5200000000000005
2019-11-08,56,8.0,,0.08,4.48
2019-11-09,61,8.0,,0.08,4.88
2019-11-10,44,8.0,False,0.08,3.52
2019-11-11,44,8.0,,0.08,3.52
2019-11-12,73,8.0,,0.08,5.84
2019-11-13,79,8.0,,0.08,6.32
2019-11-14,78,8.0,,0.08,6.24
2019-11-15,36,8.0,,0.08,2.88
2019-11-16,40,8.0,,0.08,3.2
2019-11-17,44,10.0,False,0.1,4.4
2019-11-18,40,10.0,,0.1,4.0
2019-11-19,40,10.0,,0.1,4.0
2019-11-20,90,10.0,,0.1,9.0
2019-11-21,91,10.0,,0.1,9.1
2019-11-22,47,10.0,,0.1,4.7
2019-11-23,61,10.0,,0.1,6.1000000000000005
2019-11-24,44,10.0,False,0.1,4.4
2019-11-25,88,10.0,,0.1,8.8
2019-11-26,64,10.0,,0.1,6.4
2019-11-27,49,10.0,,0.1,4.9
2019-11-28,66,10.0,,0.1,6.6000000000000005
2019-11-29,46,10.0,,0.1,4.6000000000000005
2019-11-30,55,10.0,,0.1,5.5
2019-12-01,29,9.0,False,0.09,2.61
2019-12-02,51,9.0,,0.09,4.59
2019-12-03,72,9.0,,0.09,6.4799999999999995
2019-12-04,57,9.0,,0.09,5.13
2019-12-05,47,9.0,,0.09,4.2299999999999995
2019-12-06,87,9.0,,0.09,7.83
2019-12-07,54,9.0,,0.09,4.859999999999999
2019-12-08,36,8.0,False,0.08,2.88
2019-12-09,63,8.0,,0.08,5.04
2019-12-10,43,8.0,,0.08,3.44
2019-12-11,78,8.0,,0.08,6.24
2019-12-12,74,8.0,,0.08,5.92
2019-12-13,87,8.0,,0.08,6.96
2019-12-14,35,8.0,,0.08,2.8000000000000003
2019-12-15,59,7.0,False,0.07,4.130000000000001
2019-12-16,56,7.0,,0.07,3.9200000000000004
2019-12-17,52,7.0,,0.07,3.6400000000000006
2019-12-18,62,7.0,,0.07,4.340000000000001
2019-12-19,60,7.0,,0.07,4.2
2019-12-20,51,7.0,,0.07,3.5700000000000003
2019-12-21,84,7.0,,0.07,5.880000000000001
2019-12-22,60,9.0,False,0.09,5.3999999999999995
