date,bitcoin mining_unscaled,bitcoin mining_monthly,isPartial,scale,bitcoin mining
2019-04-29,64,6.0,,0.06,3.84
2019-04-30,48,6.0,,0.06,2.88
2019-05-01,60,6.0,,0.06,3.5999999999999996
2019-05-02,24,6.0,,0.06,1.44
2019-05-03,49,6.0,,0.06,2.94
2019-05-04,72,6.0,,0.06,4.32
2019-05-05,44,7.0,False,0.07,3.08
2019-05-06,44,7.0,,0.07,3.08
2019-05-07,59,7.0,,0.07,4.130000000000001
2019-05-08,99,7.0,,0.07,6.930000000000001
2019-05-09,48,7.0,,0.07,3.3600000000000003
2019-05-10,59,7.0,,0.07,4.130000000000001
2019-05-11,70,7.0,,0.07,4.9
2019-05-12,41,8.0,False,0.08,3.2800000000000002
2019-05-13,56,8.0,,0.08,4.48
2019-05-14,67,8.0,,0.08,5.36
2019-05-15,71,8.0,,0.08,5.68
2019-05-16,36,8.0,,0.08,2.88
2019-05-17,46,8.0,,0.08,3.68
2019-05-18,46,8.0,,0.08,3.68
2019-05-19,54,6.0,False,0.06,3.2399999999999998
2019-05-20,51,6.0,,0.06,3.06
2019-05-21,81,6.0,,0.06,4.859999999999999
2019-05-22,74,6.0,,0.06,4.4399999999999995
2019-05-23,23,6.0,,0.06,1.38
2019-05-24,49,6.0,,0.06,2.94
2019-05-25,65,6.0,,0.06,3.9
2019-05-26,73,7.0,False,0.07,5.11
2019-05-27,56,7.0,,0.07,3.9200000000000004
2019-05-28,50,7.0,,0.07,3.5000000000000004
2019-05-29,100,7.0,,0.07,7.000000000000001
2019-05-30,51,7.0,,0.07,3.5700000000000003
2019-05-31,82,7.0,,0.07,5.74
2019-06-01,68,7.0,,0.07,4.760000000000001
2019-06-02,65,5.0,False,0.05,3.25
2019-06-03,39,5.0,,0.05,1.9500000000000002
2019-06-04,61,5.0,,0.05,3.0500000000000003
2019-06-05,43,5.0,,0.05,2.15
2019-06-06,65,5.0,,0.05,3.25
2019-06-07,53,5.0,,0.05,2.6500000000000004
2019-06-08,46,5.0,,0.05,2.3000000000000003
2019-06-09,17,7.0,False,0.07,1.1900000000000002
2019-06-10,72,7.0,,0.07,5.040000000000001
2019-06-11,50,7.0,,0.07,3.5000000000000004
2019-06-12,65,7.0,,0.07,4.550000000000001
2019-06-13,61,7.0,,0.07,4.2700000000000005
2019-06-14,45,7.0,,0.07,3.1500000000000004
2019-06-15,70,7.0,,0.07,4.9
2019-06-16,57,8.0,False,0.08,4.5600000000000005
2019-06-17,55,8.0,,0.08,4.4
2019-06-18,54,8.0,,0.08,4.32
2019-06-19,54,8.0,,0.08,4.32
2019-06-20,97,8.0,,0.08,7.76
2019-06-21,31,8.0,,0.08,2.48
2019-06-22,42,8.0,,0.08,3.36
2019-06-23,71,11.0,False,0.11,7.81
2019-06-24,92,11.0,,0.11,10.12
2019-06-25,87,11.0,,0.11,9.57
2019-06-26,94,11.0,,0.11,10.34
2019-06-27,87,11.0,,0.11,9.57
2019-06-28,100,11.0,,0.11,11.0
2019-06-29,88,11.0,,0.11,9.68
2019-06-30,96,9.0,False,0.09,8.64
2019-07-01,92,9.0,,0.09,8.28
2019-07-02,60,9.0,,0.09,5.3999999999999995
2019-07-03,72,9.0,,0.09,6.4799999999999995
2019-07-04,95,9.0,,0.09,8.549999999999999
2019-07-05,38,9.0,,0.09,3.42
2019-07-06,64,9.0,,0.09,5.76
2019-07-07,48,8.0,False,0.08,3.84
2019-07-08,56,8.0,,0.08,4.48
2019-07-09,100,8.0,,0.08,8.0
2019-07-10,61,8.0,,0.08,4.88
2019-07-11,45,8.0,,0.08,3.6
2019-07-12,71,8.0,,0.08,5.68
2019-07-13,53,8.0,,0.08,4.24
2019-07-14,62,8.0,False,0.08,4.96
2019-07-15,52,8.0,,0.08,4.16
2019-07-16,85,8.0,,0.08,6.8
2019-07-17,59,8.0,,0.08,4.72
2019-07-18,51,8.0,,0.08,4.08
2019-07-19,46,8.0,,0.08,3.68
2019-07-20,66,8.0,,0.08,5.28
2019-07-21,66,7.0,False,0.07,4.62
2019-07-22,43,7.0,,0.07,3.0100000000000002
2019-07-23,50,7.0,,0.07,3.5000000000000004
2019-07-24,55,7.0,,0.07,3.8500000000000005
2019-07-25,80,7.0,,0.07,5.6000000000000005
2019-07-26,52,7.0,,0.07,3.6400000000000006
2019-07-27,38,7.0,,0.07,2.66
2019-07-28,45,8.0,False,0.08,3.6
2019-07-29,51,8.0,,0.08,4.08
2019-07-30,54,8.0,,0.08,4.32
2019-07-31,68,8.0,,0.08,5.44
2019-08-01,49,8.0,,0.08,3.92
2019-08-02,32,8.0,,0.08,2.56
2019-08-03,82,8.0,,0.08,6.5600000000000005
2019-08-04,76,9.0,False,0.09,6.84
2019-08-05,68,9.0,,0.09,6.12
2019-08-06,42,9.0,,0.09,3.78
2019-08-07,55,9.0,,0.09,4.95
2019-08-08,39,9.0,,0.09,3.51
2019-08-09,100,9.0,,0.09,9.0
2019-08-10,56,9.0,,0.09,5.04
2019-08-11,38,7.0,False,0.07,2.66
2019-08-12,57,7.0,,0.07,3.99
2019-08-13,41,7.0,,0.07,2.87
2019-08-14,51,7.0,,0.07,3.5700000000000003
2019-08-15,58,7.0,,0.07,4.0600000000000005
2019-08-16,22,7.0,,0.07,1.54
2019-08-17,45,7.0,,0.07,3.1500000000000004
2019-08-18,54,7.0,False,0.07,3.7800000000000002
2019-08-19,62,7.0,,0.07,4.340000000000001
2019-08-20,44,7.0,,0.07,3.08
2019-08-21,41,7.0,,0.07,2.87
2019-08-22,39,7.0,,0.07,2.7300000000000004
2019-08-23,41,7.0,,0.07,2.87
2019-08-24,71,7.0,,0.07,4.970000000000001
2019-08-25,45,6.0,False,0.06,2.6999999999999997
2019-08-26,50,6.0,,0.06,3.0
2019-08-27,52,6.0,,0.06,3.12
2019-08-28,32,6.0,,0.06,1.92
2019-08-29,49,6.0,,0.06,2.94
2019-08-30,24,6.0,,0.06,1.44
2019-08-31,30,6.0,,0.06,1.7999999999999998
2019-09-01,78,7.0,False,0.07,5.460000000000001
2019-09-02,57,7.0,,0.07,3.99
2019-09-03,85,7.0,,0.07,5.95
2019-09-04,73,7.0,,0.07,5.11
2019-09-05,86,7.0,,0.07,6.0200000000000005
2019-09-06,85,7.0,,0.07,5.95
2019-09-07,63,7.0,,0.07,4.41
2019-09-08,88,7.0,False,0.07,6.16
2019-09-09,82,7.0,,0.07,5.74
2019-09-10,77,7.0,,0.07,5.390000000000001
2019-09-11,67,7.0,,0.07,4.69
2019-09-12,95,7.0,,0.07,6.65
2019-09-13,24,7.0,,0.07,1.6800000000000002
2019-09-14,88,7.0,,0.07,6.16
